Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Acacoyagua,San Andrés Duraznal,429.5,431.689,2.189,367.0
Acacoyagua,San Cristóbal de las Casas,355.759,356.945,1.187,280.7
Acacoyagua,San Fernando,304.204,305.001,0.797,249.0
Acacoyagua,San Juan Cancuc,414.665,416.686,2.022,360.1
Acacoyagua,San Lucas,372.91,374.342,1.432,318.5
Acacoyagua,Santiago el Pinar,392.02,393.856,1.836,343.1
Acacoyagua,Siltepec,150.589,155.62,5.031,165.0
Acacoyagua,Simojovel,445.392,447.782,2.39,395.3
Acacoyagua,Sitalá,448.846,451.566,2.72,404.2
Acacoyagua,Socoltenango,281.313,284.47,3.156,302.0
Acacoyagua,Solosuchiapa,481.444,484.823,3.378,410.7
Acacoyagua,Soyaló,341.13,342.778,1.648,291.0
Acacoyagua,Suchiapa,310.137,310.947,0.81,257.3
Acacoyagua,Suchiate,131.828,132.127,0.299,127.2
Acacoyagua,Sunuapa,442.163,443.847,1.684,369.2
Acacoyagua,Tapachula,88.065,88.346,0.28,91.1
Acacoyagua,Tapalapa,391.438,393.907,2.469,360.5
Acacoyagua,Tapilula,449.606,452.064,2.458,371.5
Acacoyagua,Tecpatán,366.771,368.184,1.413,294.7
Acacoyagua,Tenejapa,392.574,394.215,1.641,324.2
Acacoyagua,Teopisca,381.213,382.544,1.331,311.5
Acacoyagua,Tila,546.947,550.042,3.095,484.6
Acacoyagua,Tonalá,160.177,160.436,0.259,143.6
Acacoyagua,Totolapa,370.124,371.122,0.998,312.0
Acacoyagua,Tumbalá,528.111,530.807,2.695,460.2
Acacoyagua,Tuxtla Chico,108.14,108.45,0.31,102.8
Acacoyagua,Tuxtla Gutiérrez,295.8,296.521,0.722,229.6
Acacoyagua,Tuzantán,57.918,58.15,0.232,64.6
Acacoyagua,Tzimol,261.708,264.945,3.238,257.7
Acacoyagua,Unión Juárez,137.211,137.839,0.628,138.2
Acacoyagua,Venustiano Carranza,377.513,378.382,0.869,315.2
Acacoyagua,Villa Comaltitlán,43.1,43.296,0.196,55.4
Acacoyagua,Villa Corzo,304.46,305.772,1.312,277.5
Acacoyagua,Villaflores,269.11,270.153,1.042,227.9
Acacoyagua,Yajalón,504.104,506.366,2.262,428.9
Acacoyagua,Zinacantán,343.049,344.391,1.342,278.7
Acacoyagua,Ángel Albino Corzo,251.317,259.796,8.479,284.4
Acala,Acacoyagua,350.58,351.424,0.843,288.1
Acala,Acapetahua,360.059,360.749,0.69,292.6
Acala,Aldama,91.672,92.928,1.256,122.7
Acala,Altamirano,177.734,179.153,1.419,216.5
Acala,Amatenango de la Frontera,213.134,213.721,0.587,232.5
Acala,Amatenango del Valle,73.139,73.773,0.634,89.6
Acala,Amatán,205.304,208.075,2.772,224.7
Acala,Arriaga,178.814,179.354,0.54,149.1
Acala,Bejucal de Ocampo,221.554,222.695,1.141,247.5
Acala,Bella Vista,214.317,215.277,0.96,233.7
Acala,Benemérito de las Américas,374.637,376.808,2.171,364.2
Acala,Berriozábal,88.304,88.563,0.259,99.8
Acala,Bochil,100.106,100.914,0.809,101.4
Acala,Cacahoatán,315.057,321.432,6.374,363.5
Acala,Capitán Luis Ángel Vidal,230.334,233.458,3.124,265.2
Acala,Catazajá,324.545,327.023,2.478,316.3
Acala,Chalchihuitán,115.334,116.938,1.605,136.8
Acala,Chamula,73.495,74.354,0.859,90.3
Acala,Chanal,114.368,115.299,0.931,146.0
Acala,Chapultenango,236.165,239.32,3.155,238.4
Acala,Chenalhó,109.437,110.762,1.325,124.9
Acala,Chiapa de Corzo,29.113,29.177,0.064,32.2
Acala,Chiapilla,15.197,15.264,0.067,21.1
Acala,Chicoasén,111.964,112.806,0.842,123.0
Acala,Chicomuselo,199.138,200.015,0.877,268.1
Acala,Chilón,192.474,194.098,1.624,194.8
Acala,Cintalapa de Figueroa,126.594,126.828,0.234,115.8
Acala,Coapilla,138.102,139.229,1.126,156.0
Acala,Comitán de Domínguez,122.775,123.053,0.279,133.2
Acala,Copainalá,119.231,119.999,0.767,127.9
Acala,El Bosque,121.931,123.158,1.228,129.5
Acala,El Parral,63.708,63.811,0.103,69.4
Acala,El Porvenir,245.644,247.709,2.066,280.0
Acala,Emiliano Zapata,18.369,18.442,0.073,29.1
Acala,Escuintla,365.235,366.018,0.784,288.5
Acala,Francisco León,181.654,183.367,1.713,210.4
Acala,Frontera Comalapa,204.235,204.521,0.286,229.2
Acala,Frontera Hidalgo,451.355,452.184,0.829,358.3
Acala,Honduras de la Sierra,227.126,229.309,2.184,255.8
Acala,Huehuetán,399.477,400.234,0.757,312.9
Acala,Huitiupán,164.861,166.657,1.796,175.4
Acala,Huixtla,382.228,382.958,0.729,297.7
Acala,Huixtán,87.734,88.576,0.842,94.6
Acala,Ixhuatán,184.014,186.035,2.021,184.6
Acala,Ixtacomitán,216.631,219.454,2.822,209.7
Acala,Ixtapa,67.174,67.661,0.487,71.7
Acala,Ixtapangajoya,245.121,248.213,3.091,262.7
Acala,Jiquipilas,125.608,125.847,0.239,122.7
Acala,Jitotol,125.712,126.979,1.267,129.1
Acala,Juárez,260.109,260.914,0.805,242.8
Acala,La Concordia,142.465,142.734,0.268,153.4
Acala,La Grandeza,230.101,231.583,1.482,260.2
Acala,La Independencia,151.613,151.924,0.311,166.0
Acala,La Libertad,310.441,312.916,2.475,313.1
Acala,La Trinitaria,138.392,138.68,0.288,148.5
Acala,Larráinzar,111.604,112.66,1.056,141.9
Acala,Las Margaritas,142.061,142.369,0.308,154.3
Acala,Las Rosas,87.531,87.729,0.198,94.9
Acala,Mapastepec,321.644,322.305,0.66,255.5
Acala,Maravilla Tenejapa,265.738,267.653,1.915,275.6
Acala,Marqués de Comillas,361.223,363.419,2.197,364.3
Acala,Mazapa de Madero,239.893,241.637,1.744,266.8
